Column,dipl,HS_corr,HS_persname,HS_persname_check,HS_comment,HS_link,dipl_ctx_lr15,pb_n,doc,persname,dipl-ids
10,Roy.,,Adriaan van Royen,true,empty,empty,de Sc. a. 1720 . edit. Pariſ . 320 . Linn. Gen. n. 794 . Roy. 175 . Hall. 712 . Ludvv. n. 358 . 5. NOM. SPEC . Stratiotes millefolia,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35238', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35239_virtualSpan']"
11,Roy.,,Adriaan van Royen,true,empty,empty,Dill. 133 . Boerh. I. 301 . Vaill. 46 . Linn. G. no 535 . Roy. 482 . Hall. 314 . Kram. 67 . Ludvv. no. 740 . Calcatrippa . Cord.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35463', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35464_virtualSpan']"
12,Roy.,,Adriaan van Royen,true,empty,empty,"foliis com- poſitis multifidis , floribus fubgloboſis pendulis , receptaculo pappoſo Linn. H. 404 . Roy. 153 . Artemiſia foliis incanis , pinnatis , pinnis bilobis latioribus , floribus ex alis",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35224', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35225_virtualSpan']"
13,Roy.,,Adriaan van Royen,true,empty,empty,"Hall. 465 . Lonicera floribus capitatis terminatricibus , foliis omnibus diſtinctis Linn. H. 58 . Roy. 237 . Anm. Die 3 . insbeſondere vorgeſtellte Blumen fig. 2. 3. 4. , welche",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35450', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35451_virtualSpan']"
14,Roy.,,Adriaan van Royen,true,empty,empty,"Heuch. Ind. 42 . Delphinium caule ſimplici , nectariis monophylis . Linn. H. 213 . Roy. 482 . Delphinium radice fibroſa , folliis tenuiſſime diviſis Hall . 314 . Anm. Dieses",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35478', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35479_virtualSpan']"
15,Roy.,,Adriaan van Royen,true,empty,empty,I. 126 . Heiſt. I. 1 . Kram. 73 . Artemiſia Linn. Gen. no. 779 Roy. 153 . Hall. 694 . Ludvv. n. 296 . 5. NOM. SPEC. Abſinthium flore luteo,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35211', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35212_virtualSpan']"
16,Roy.,,Adriaan van Royen,true,empty,empty,I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35357', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35358_virtualSpan']"
17,Roy.,,Adriaan van Royen,true,empty,empty,II. 30 . Vaill. 194 . Heiſt. I. 31 . Linn. G. n. 713 . Roy. 377 . Hall. 580 . Kram. 46 . Ludvv. n. 473 . Tifo- lioides Knaut.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35295', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35296_virtualSpan']"
18,Roy.,,Adriaan van Royen,true,empty,empty,Kram. 14 . Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt nach Beſchaffenheit des Erdreichs,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35371', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35372_virtualSpan']"
19,Roy.,,Adriaan van Royen,true,empty,empty,Vaill. 52 . Heiſt. II. 12 . Kram. 60 . Vicia Linn. G. no. 708 Roy. 366 . Ludvv. n. 486 . 5. NOM. . SPEC. _ five Phaſcolus major Dod.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35268', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35269_virtualSpan']"
20,Roy.,,Adriaan van Royen,true,empty,empty,"vulgaris foliis ovalibus fer- ratis Kram. 50 . Brunella bracteis cordatis Linn. H. 316 . Roy. 314 . Brunella foliis dentatis , ſpica folio minore Hall . 636 . Anm. Eine",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35426', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35427_virtualSpan']"
21,Roy.,,Adriaan van Royen,true,empty,empty,"vulgaris ſive officinarium flore luteo Heiſt. III . 1. Agri- monia foliis pinnatis fructibus hiſpidis Roy. 240 . Hall. 407 . Agrimonia foliis omnibus pinnatis , fructibus hiſpi- dis Linn. H.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Adriaan_van_Royen,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35330', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35331_virtualSpan']"
22,Aetius,,Aetios von Amida,true,empty,empty,"aber zum under⸗ ſcheid des gemeinẽ Wermuths auſſ Lateiniſch Abſinthium montanum genennt . Dioſcorides , Aetius und Ægineta heiſſen ihne Abſinthium Ponticum , von Meſue wird er under dem na⸗ men",659,TheatrumBotanicum_1696_Verzascha,Aetios_von_Amida,"['RIDGES_Herbology_Version9.0/TheatrumBotanicum_1696_Verzascha#sSpan19553', 'RIDGES_Herbology_Version9.0/TheatrumBotanicum_1696_Verzascha#sTok19554_virtualSpan']"
23,Aet.,,Aetios von Amida,true,empty,empty,alſo mit angemachet . Ficinus Balſam angerochẽ ſter cket vñ macht froͤlich das gemuͤt . Aet. Vber das hufftwee pflaſter calaminten ſo haſt gůte hilff : dañ ſy zeücht auſz tieffem,NaN,WieSichMeniglich_1557_vonBodenstein,Aetios_von_Amida,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34119', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34120_virtualSpan']"
24,Ae⸗ tius,,Aetios von Amida,true,empty,empty,cke die laͤbliche entpfencknuſz / der halben die tragende Loͤwin ſal⸗ ney gern verſchlinden . Ae⸗ tius . Wañ ein kindbetterin am vierten tag nach jhrer reinigung ein quertlin diſes krauts ſafft,NaN,WieSichMeniglich_1557_vonBodenstein,Aetios_von_Amida,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok517_virtualSpan', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok518_virtualSpan']"
25,Aetius,,Aetios von Amida,true,empty,empty,nebẽt aͤderlin . Dioſc. Eiſenkraut ge⸗ ſotten vnd truncken benimpt das gifft im leyb . Aetius . Die bruͤ darinn diſz kraut geſotten iſt / im mund gehaltẽ ſtillet deſz zanwee,xxxij,WieSichMeniglich_1557_vonBodenstein,Aetios_von_Amida,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34105', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34106_virtualSpan']"
26,Aet.,,Aetios von Amida,true,empty,empty,pulffer gethon in die naſen / beiſzt das faul fleiſch darauſz genam̃ſet der kraͤbs . Aet. Den nabel mit Erdoͤpffel ſafft geſchmieret ma⸗ chet ſtůlgeng . Diſe wurtzel treibet auſz die,NaN,WieSichMeniglich_1557_vonBodenstein,Aetios_von_Amida,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34110', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34111_virtualSpan']"
27,Agrippa,,Agrippa von Nettesheim,true,empty,empty,ſchwãger frau⸗ wẽ ſollend ſein nicht zů vil nützen ſeiner treibenden krafft halben . Wiewol Agrippa geſagt ſy ſter⸗ cke die laͤbliche entpfencknuſz / der halben die tragende Loͤwin ſal⸗ ney,NaN,WieSichMeniglich_1557_vonBodenstein,Agrippa_von_Nettesheim,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34098', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34099_virtualSpan']"
28,Aiacis,persname anpassen,Aias (Mythologie),false,Trojanischer Krieg,https://de.wikipedia.org/wiki/Aias_der_Telamonier,genoſſen / vnd nach jnen Liguſticum geheyſſen . Teucer eyn alter Troianer / der brůder Aiacis / hat Teucrion / oð Eren⸗ breiſz erfunden . Der weiſz Themiſon / hat nit,NaN,NewKreuetterBuch-VR_1539_Bock,Aiacis,"['RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sSpan12224', 'RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sTok12225_virtualSpan']"
29,B.,,Aimé Jacques Alexandre Bonpland,true,empty,empty,", 2 in den Anden von Perus und Quito . Sect. IV . Andromachia H. B. ( als Gatt. ) Beblätterte und verzweigte Kräuter oder Sträucher . Fr. kahl , behaart",285,NatürlichePflanzenfamilien_1887_Engler,Aimé_Jacques_Alexandre_Bonpland,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23617', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23618_virtualSpan']"
30,B.,,Aimé Jacques Alexandre Bonpland,true,empty,empty,"fil. in mehreren Abarten ( Fig. 131 A ) . Sect. II . Chrysactinium H. B. K. ( Wedd. als Gatt. ) Kräuter mit wurzelständigen B. und blattlosen , schaftförmigen ,",285,NatürlichePflanzenfamilien_1887_Engler,Aimé_Jacques_Alexandre_Bonpland,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23610', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23611_virtualSpan']"
31,Hall.,,Albrecht von Haller,true,empty,empty,. Dill. 109 . Boerh. II. 226 . Vaill. 27 . Heiſt. I. 7 . Hall. 464 . Ludvv. no. 278 . Lonicera Linn. G. no. 174 . Roy. 237 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35443', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35444_virtualSpan']"
32,Hall,,Albrecht von Haller,true,empty,empty,". Linn. H. 213 . Roy. 482 . Delphinium radice fibroſa , folliis tenuiſſime diviſis Hall . 314 . Anm. Dieses Geſchlechtes Art , deren nach der Natur gemachte Figur wir",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35479', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35480_virtualSpan']"
33,Hall.,,Albrecht von Haller,true,empty,empty,1720 . edit. Pariſ . 320 . Linn. Gen. n. 794 . Roy. 175 . Hall. 712 . Ludvv. n. 358 . 5. NOM. SPEC . Stratiotes millefolia Fuchſ. 727 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35239', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35240_virtualSpan']"
34,Hall.,,Albrecht von Haller,true,empty,empty,"Achillea pinnis foliorum plurimis , longe æqualibus , pinnatis , pinulis trifidis & quinque- fidis Hall. 715 . Anm. . Die unterſte Blaͤtter an der Wurtzel a. ſind viel mehr zer⸗",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35255', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35256_virtualSpan']"
35,Hall.,,Albrecht von Haller,true,empty,empty,Boerh. I. 301 . Vaill. 46 . Linn. G. no 535 . Roy. 482 . Hall. 314 . Kram. 67 . Ludvv. no. 740 . Calcatrippa . Cord. Hiſt. 159 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35464', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35465_virtualSpan']"
36,Hall,,Albrecht von Haller,true,empty,empty,"cordatis Linn. H. 316 . Roy. 314 . Brunella foliis dentatis , ſpica folio minore Hall . 636 . Anm. Eine gantze Blume zeiget ſich von vornen fig. 1. a. nebſt",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35427', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35428_virtualSpan']"
37,Hall.,,Albrecht von Haller,true,empty,empty,"flore luteo Heiſt. III . 1. Agri- monia foliis pinnatis fructibus hiſpidis Roy. 240 . Hall. 407 . Agrimonia foliis omnibus pinnatis , fructibus hiſpi- dis Linn. H. 179 . Anm.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35331', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35332_virtualSpan']"
38,Hall.,,Albrecht von Haller,true,empty,empty,"flore majore Riv. Tab. 29 . Brunella foliis integris vix deneatis , ſpica foliis majore Hall. 687.3 aber mit dieſer kommt die unſrige noch weniger uͤberein , welche wir deswe⸗ gen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35429', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35430_virtualSpan']"
39,Herr Hof⸗Rath Haller,,Albrecht von Haller,true,empty,empty,"Geſchmack habe : daſz die Wurtzel im Fruͤh⸗ ling einen Geruch habe , bemercket auch Herr Hof⸗Rath Haller 1. c. Nichts deſto weniger ſcheinet diejenige Art , welche FAB. COLVMNA als wohlruͤchend und",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2833_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2834_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2835_virtualSpan']"
40,Hall.,,Albrecht von Haller,true,empty,empty,"H. 375 . Roy. 380 . Trifolium ſpicis villoſis foliis inſidentibus , vaginarum caudis capillaribus Hall. 585 . Trifoliodes Knaut. meth. 84 . Triphylloides pratenſis flore purparco Ponted Anth. 241 .",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35302', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35303_virtualSpan']"
41,Hall.,,Albrecht von Haller,true,empty,empty,Heiſt. I. 1 . Kram. 73 . Artemiſia Linn. Gen. no. 779 Roy. 153 . Hall. 694 . Ludvv. n. 296 . 5. NOM. SPEC. Abſinthium flore luteo officinarum Heuch. Ind.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35212', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35213_virtualSpan']"
42,Hall.,,Albrecht von Haller,true,empty,empty,I. 168 . Vaill. 22 . Heiſt. I. 6 . Linn. G. no. 586 . Hall. 636 . Kram. 50 . Ludvv. no. 201 . 5. NOM. SPEC. Conſolida minor Matth.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35407', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35408_virtualSpan']"
43,Hall.,,Albrecht von Haller,true,empty,empty,"incanis , pinnatis , pinnis bilobis latioribus , floribus ex alis pendulis in ſpicis heteromallis Hall. 694 . Anm. Dieses Gewaͤchs gehoͤret in die Claſſe derjenigen , die eine aus vielen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35225', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35226_virtualSpan']"
44,Hall.,,Albrecht von Haller,true,empty,empty,Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35380', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35381_virtualSpan']"
45,Hall.,,Albrecht von Haller,true,empty,empty,"maius Rai. I. _ . Trifolium purpureum maius ſativum pratenſi ſimile Rat. Syn. 328. conf. Hall. 586. eine beſtaͤndige varietaͤt ſeye , oder nur von der cultur herkomme , iſt annoch",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35305', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35306_virtualSpan']"
46,Hall.,,Albrecht von Haller,true,empty,empty,Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt nach Beſchaffenheit des Erdreichs und der Witterung,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35372', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35373_virtualSpan']"
47,Hall.,,Albrecht von Haller,true,empty,empty,"non perfoliatum flore interius albo , rubro externe Boerh. II. 226 . Caprifolium floribus racemoſis Hall. 465 . Lonicera floribus capitatis terminatricibus , foliis omnibus diſtinctis Linn. H. 58 . Roy.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35448', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35449_virtualSpan']"
48,Hall.,,Albrecht von Haller,true,empty,empty,Vaill. 194 . Heiſt. I. 31 . Linn. G. n. 713 . Roy. 377 . Hall. 580 . Kram. 46 . Ludvv. n. 473 . Tifo- lioides Knaut. meth. 84 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35296', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35297_virtualSpan']"
49,Hall.,,Albrecht von Haller,true,empty,empty,Vaill. 3 . Heiſ. III. 1 . Linn. G. n. 464 . Roy. 240 . Hall. 407 . Kram. 32 . Luávv. n. 606 . 5. NOM. SPEC. Eupatorium Fuchſ. 244,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,Albrecht_von_Haller,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35317', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35318_virtualSpan']"
